spores,techs,carriers,unit,biofuel_use_rate
0,biofuel_supply,biofuel,fraction,0.5647692090048836
1,biofuel_supply,biofuel,fraction,0.030773829723679813
2,biofuel_supply,biofuel,fraction,0.7002486367280719
3,biofuel_supply,biofuel,fraction,0.7277761385928719
4,biofuel_supply,biofuel,fraction,0.582790998560196
5,biofuel_supply,biofuel,fraction,0.591307105347489
6,biofuel_supply,biofuel,fraction,0.5957856680862256
7,biofuel_supply,biofuel,fraction,0.6919851184170654
8,biofuel_supply,biofuel,fraction,0.9925906044063254
9,biofuel_supply,biofuel,fraction,0.7092261616344789
10,biofuel_supply,biofuel,fraction,0.7106167432100546
11,biofuel_supply,biofuel,fraction,0.9996916823518674
12,biofuel_supply,biofuel,fraction,0.6073676282541366
13,biofuel_supply,biofuel,fraction,0.6033387155576666
14,biofuel_supply,biofuel,fraction,0.6101920899732761
15,biofuel_supply,biofuel,fraction,0.7180164776882956
16,biofuel_supply,biofuel,fraction,0.9998475988787846
17,biofuel_supply,biofuel,fraction,0.6066613386368434
18,biofuel_supply,biofuel,fraction,0.7222416271729114
19,biofuel_supply,biofuel,fraction,0.7150924952075092
20,biofuel_supply,biofuel,fraction,0.6509519336070492
21,biofuel_supply,biofuel,fraction,0.6264880922521361
22,biofuel_supply,biofuel,fraction,0.6520165978096546
23,biofuel_supply,biofuel,fraction,0.6513900370173411
24,biofuel_supply,biofuel,fraction,0.734297649580405
25,biofuel_supply,biofuel,fraction,0.9990493636001969
26,biofuel_supply,biofuel,fraction,0.6090149897482189
27,biofuel_supply,biofuel,fraction,0.737388421008872
28,biofuel_supply,biofuel,fraction,0.6448909845320582
29,biofuel_supply,biofuel,fraction,0.9997801924100999
30,biofuel_supply,biofuel,fraction,0.6011893481493251
31,biofuel_supply,biofuel,fraction,0.7185776254457982
32,biofuel_supply,biofuel,fraction,0.6952657971280133
33,biofuel_supply,biofuel,fraction,0.7563148967206311
34,biofuel_supply,biofuel,fraction,0.6500906254045933
35,biofuel_supply,biofuel,fraction,0.6374370351409362
36,biofuel_supply,biofuel,fraction,0.6533003109152553
37,biofuel_supply,biofuel,fraction,0.6445443496068068
38,biofuel_supply,biofuel,fraction,0.7204237081943506
39,biofuel_supply,biofuel,fraction,0.7538707668336361
40,biofuel_supply,biofuel,fraction,0.6445547255429352
41,biofuel_supply,biofuel,fraction,0.6383215538666195
42,biofuel_supply,biofuel,fraction,0.6310565301312765
43,biofuel_supply,biofuel,fraction,0.6475673667664549
44,biofuel_supply,biofuel,fraction,0.6423113845512545
45,biofuel_supply,biofuel,fraction,0.6249731878050994
46,biofuel_supply,biofuel,fraction,0.626733452766436
47,biofuel_supply,biofuel,fraction,0.6213045238018559
48,biofuel_supply,biofuel,fraction,0.685431436522888
49,biofuel_supply,biofuel,fraction,0.6627647550146877
50,biofuel_supply,biofuel,fraction,0.5843541751549156
51,biofuel_supply,biofuel,fraction,0.019570149737280895
52,biofuel_supply,biofuel,fraction,0.06518396774751313
53,biofuel_supply,biofuel,fraction,0.06531824501525041
54,biofuel_supply,biofuel,fraction,0.06534567986502698
55,biofuel_supply,biofuel,fraction,0.0713498973234864
56,biofuel_supply,biofuel,fraction,0.19344760875323855
57,biofuel_supply,biofuel,fraction,0.23434513991143052
58,biofuel_supply,biofuel,fraction,0.23414239754939198
59,biofuel_supply,biofuel,fraction,0.2839948670102994
60,biofuel_supply,biofuel,fraction,0.533405357979534
61,biofuel_supply,biofuel,fraction,0.024994721467871947
62,biofuel_supply,biofuel,fraction,0.06642796108667635
63,biofuel_supply,biofuel,fraction,0.06676349716602127
64,biofuel_supply,biofuel,fraction,0.2351816779284851
65,biofuel_supply,biofuel,fraction,0.2818234773076289
66,biofuel_supply,biofuel,fraction,0.5324961462967048
67,biofuel_supply,biofuel,fraction,0.5646492936002545
68,biofuel_supply,biofuel,fraction,0.5647783667254127
69,biofuel_supply,biofuel,fraction,0.5650485081301015
70,biofuel_supply,biofuel,fraction,0.5653857251377843
71,biofuel_supply,biofuel,fraction,0.02073637100515861
72,biofuel_supply,biofuel,fraction,0.06646953918614486
73,biofuel_supply,biofuel,fraction,0.06751756192373153
74,biofuel_supply,biofuel,fraction,0.21128591950278064
75,biofuel_supply,biofuel,fraction,0.3586579262249817
76,biofuel_supply,biofuel,fraction,0.4237404499361196
77,biofuel_supply,biofuel,fraction,0.5253279155856904
78,biofuel_supply,biofuel,fraction,0.5647457121088094
79,biofuel_supply,biofuel,fraction,0.5647644038891229
80,biofuel_supply,biofuel,fraction,0.5648168671779724
81,biofuel_supply,biofuel,fraction,0.5652423415742795
82,biofuel_supply,biofuel,fraction,0.5652110825310097
83,biofuel_supply,biofuel,fraction,0.5647084741596929
84,biofuel_supply,biofuel,fraction,0.5652135583007759
85,biofuel_supply,biofuel,fraction,0.5653313739389961
86,biofuel_supply,biofuel,fraction,0.5653412406914896
87,biofuel_supply,biofuel,fraction,0.5652222025133522
88,biofuel_supply,biofuel,fraction,0.5649788672648607
89,biofuel_supply,biofuel,fraction,0.5647631289598711
90,biofuel_supply,biofuel,fraction,0.5647931003513861
91,biofuel_supply,biofuel,fraction,0.5656314345799323
92,biofuel_supply,biofuel,fraction,0.5660225083180662
93,biofuel_supply,biofuel,fraction,0.5659236231238254
94,biofuel_supply,biofuel,fraction,0.5662883120403664
95,biofuel_supply,biofuel,fraction,0.5648580511382925
96,biofuel_supply,biofuel,fraction,0.5666910939142173
97,biofuel_supply,biofuel,fraction,0.5648997729360372
98,biofuel_supply,biofuel,fraction,0.5648706090510495
99,biofuel_supply,biofuel,fraction,0.5648754437791931
100,biofuel_supply,biofuel,fraction,0.5649050117465026
101,biofuel_supply,biofuel,fraction,0.5647570873931678
102,biofuel_supply,biofuel,fraction,0.5647654235153143
103,biofuel_supply,biofuel,fraction,0.5647878396603697
104,biofuel_supply,biofuel,fraction,0.56477988896785
105,biofuel_supply,biofuel,fraction,0.5648060155041927
106,biofuel_supply,biofuel,fraction,0.5647953515338772
107,biofuel_supply,biofuel,fraction,0.5647632493835563
108,biofuel_supply,biofuel,fraction,0.5647569799197291
109,biofuel_supply,biofuel,fraction,0.5648597721520392
110,biofuel_supply,biofuel,fraction,0.5648299144999737
111,biofuel_supply,biofuel,fraction,0.02059487681390078
112,biofuel_supply,biofuel,fraction,0.06689767550960073
113,biofuel_supply,biofuel,fraction,0.06582704503791677
114,biofuel_supply,biofuel,fraction,0.22856460432448492
115,biofuel_supply,biofuel,fraction,0.37182535612065254
116,biofuel_supply,biofuel,fraction,0.4189951972314838
117,biofuel_supply,biofuel,fraction,0.4831467036752413
118,biofuel_supply,biofuel,fraction,0.5639850277001648
119,biofuel_supply,biofuel,fraction,0.5656455129722819
120,biofuel_supply,biofuel,fraction,0.5649815716788862
121,biofuel_supply,biofuel,fraction,0.07045585398515335
122,biofuel_supply,biofuel,fraction,0.3964084903894883
123,biofuel_supply,biofuel,fraction,0.5646929423276226
124,biofuel_supply,biofuel,fraction,0.5657474608745007
125,biofuel_supply,biofuel,fraction,0.5659805541843643
126,biofuel_supply,biofuel,fraction,0.564811678238806
127,biofuel_supply,biofuel,fraction,0.5653306082092466
128,biofuel_supply,biofuel,fraction,0.5648329385232879
129,biofuel_supply,biofuel,fraction,0.564825410667391
130,biofuel_supply,biofuel,fraction,0.5657109643520813
131,biofuel_supply,biofuel,fraction,0.020618000798514786
132,biofuel_supply,biofuel,fraction,0.06584473571597242
133,biofuel_supply,biofuel,fraction,0.06738465003864504
134,biofuel_supply,biofuel,fraction,0.232527269488172
135,biofuel_supply,biofuel,fraction,0.3613454836018456
136,biofuel_supply,biofuel,fraction,0.4108710110604083
137,biofuel_supply,biofuel,fraction,0.56436600029908
138,biofuel_supply,biofuel,fraction,0.5647532649766751
139,biofuel_supply,biofuel,fraction,0.5648171363187132
140,biofuel_supply,biofuel,fraction,0.5648162904620978
141,biofuel_supply,biofuel,fraction,0.7528864616314875
142,biofuel_supply,biofuel,fraction,0.0662570179421092
143,biofuel_supply,biofuel,fraction,0.0668179245962342
144,biofuel_supply,biofuel,fraction,0.23475845262275938
145,biofuel_supply,biofuel,fraction,0.23747648287218917
146,biofuel_supply,biofuel,fraction,0.302100064544658
147,biofuel_supply,biofuel,fraction,0.5646332270626752
148,biofuel_supply,biofuel,fraction,0.5647385253854633
149,biofuel_supply,biofuel,fraction,0.564798223016828
150,biofuel_supply,biofuel,fraction,0.5648245101718172
151,biofuel_supply,biofuel,fraction,0.5647099329707065
152,biofuel_supply,biofuel,fraction,0.5646987376398288
153,biofuel_supply,biofuel,fraction,0.5647162914815446
154,biofuel_supply,biofuel,fraction,0.5647146846641343
155,biofuel_supply,biofuel,fraction,0.5647065889274833
156,biofuel_supply,biofuel,fraction,0.5646960234742054
157,biofuel_supply,biofuel,fraction,0.5647351112832653
158,biofuel_supply,biofuel,fraction,0.5647132663808966
159,biofuel_supply,biofuel,fraction,0.564695950973393
160,biofuel_supply,biofuel,fraction,0.5647480591466582
161,biofuel_supply,biofuel,fraction,0.5647152232783245
162,biofuel_supply,biofuel,fraction,0.5646904528086307
163,biofuel_supply,biofuel,fraction,0.5647444447379618
164,biofuel_supply,biofuel,fraction,0.564728163891966
165,biofuel_supply,biofuel,fraction,0.564740803421991
166,biofuel_supply,biofuel,fraction,0.5647691042508572
167,biofuel_supply,biofuel,fraction,0.5647812867861874
168,biofuel_supply,biofuel,fraction,0.5656111432460537
169,biofuel_supply,biofuel,fraction,0.5647827320296527
170,biofuel_supply,biofuel,fraction,0.5648876659677007
171,biofuel_supply,biofuel,fraction,0.5647080154020393
172,biofuel_supply,biofuel,fraction,0.5647204115451255
173,biofuel_supply,biofuel,fraction,0.5647123148370661
174,biofuel_supply,biofuel,fraction,0.5651491327100111
175,biofuel_supply,biofuel,fraction,0.5647200587110187
176,biofuel_supply,biofuel,fraction,0.565220702360368
177,biofuel_supply,biofuel,fraction,0.564779468373919
178,biofuel_supply,biofuel,fraction,0.5646790692969829
179,biofuel_supply,biofuel,fraction,0.5647208598383493
180,biofuel_supply,biofuel,fraction,0.5643693440717193
181,biofuel_supply,biofuel,fraction,0.23486471405811044
182,biofuel_supply,biofuel,fraction,0.23442511434094268
183,biofuel_supply,biofuel,fraction,0.24419699502982445
184,biofuel_supply,biofuel,fraction,0.2348621294178291
185,biofuel_supply,biofuel,fraction,0.37824833177032746
186,biofuel_supply,biofuel,fraction,0.36278752306627404
187,biofuel_supply,biofuel,fraction,0.4169925203542297
188,biofuel_supply,biofuel,fraction,0.4362239268554919
189,biofuel_supply,biofuel,fraction,0.4692214101739625
190,biofuel_supply,biofuel,fraction,0.4111762175357632
191,biofuel_supply,biofuel,fraction,0.234426339434741
192,biofuel_supply,biofuel,fraction,0.2344044188489409
193,biofuel_supply,biofuel,fraction,0.2560133257912695
194,biofuel_supply,biofuel,fraction,0.29085174985604106
195,biofuel_supply,biofuel,fraction,0.36394425223363813
196,biofuel_supply,biofuel,fraction,0.24462674008972402
197,biofuel_supply,biofuel,fraction,0.4156759930778948
198,biofuel_supply,biofuel,fraction,0.4666410416361014
199,biofuel_supply,biofuel,fraction,0.3061860264252093
200,biofuel_supply,biofuel,fraction,0.4559878424385482
201,biofuel_supply,biofuel,fraction,0.564735071421502
202,biofuel_supply,biofuel,fraction,0.5647386943739932
203,biofuel_supply,biofuel,fraction,0.5647222034471087
204,biofuel_supply,biofuel,fraction,0.56475932590483
205,biofuel_supply,biofuel,fraction,0.5647222563945492
206,biofuel_supply,biofuel,fraction,0.564767503494524
207,biofuel_supply,biofuel,fraction,0.5649899769935395
208,biofuel_supply,biofuel,fraction,0.5647489443569665
209,biofuel_supply,biofuel,fraction,0.5647949723187587
210,biofuel_supply,biofuel,fraction,0.564783310207808
211,biofuel_supply,biofuel,fraction,0.23442265217137379
212,biofuel_supply,biofuel,fraction,0.23443495585151533
213,biofuel_supply,biofuel,fraction,0.23443647986935198
214,biofuel_supply,biofuel,fraction,0.23448433712036118
215,biofuel_supply,biofuel,fraction,0.23450198181007184
216,biofuel_supply,biofuel,fraction,0.23462009681718357
217,biofuel_supply,biofuel,fraction,0.32280055161775484
218,biofuel_supply,biofuel,fraction,0.5595200734386127
219,biofuel_supply,biofuel,fraction,0.5646519666748676
220,biofuel_supply,biofuel,fraction,0.5647914504736647
221,biofuel_supply,biofuel,fraction,0.020618000798514786
222,biofuel_supply,biofuel,fraction,0.06584473571597242
223,biofuel_supply,biofuel,fraction,0.06738465003864504
224,biofuel_supply,biofuel,fraction,0.232527269488172
225,biofuel_supply,biofuel,fraction,0.3613454836018456
226,biofuel_supply,biofuel,fraction,0.4108710110604083
227,biofuel_supply,biofuel,fraction,0.56436600029908
228,biofuel_supply,biofuel,fraction,0.5647532649766751
229,biofuel_supply,biofuel,fraction,0.5648171363187132
230,biofuel_supply,biofuel,fraction,0.5648162904620978
231,biofuel_supply,biofuel,fraction,0.9999991814576886
232,biofuel_supply,biofuel,fraction,0.9778060063328217
233,biofuel_supply,biofuel,fraction,0.6268864129265443
234,biofuel_supply,biofuel,fraction,0.8991170521687439
235,biofuel_supply,biofuel,fraction,0.7926524385121884
236,biofuel_supply,biofuel,fraction,0.9881227970981808
237,biofuel_supply,biofuel,fraction,0.5648149141012924
238,biofuel_supply,biofuel,fraction,0.9999984893864345
239,biofuel_supply,biofuel,fraction,0.564725213685391
240,biofuel_supply,biofuel,fraction,0.6864082450815917
241,biofuel_supply,biofuel,fraction,0.9999999153007798
242,biofuel_supply,biofuel,fraction,0.9999997584906377
243,biofuel_supply,biofuel,fraction,0.9999996967040886
244,biofuel_supply,biofuel,fraction,0.999999496411281
245,biofuel_supply,biofuel,fraction,0.9999998306804646
246,biofuel_supply,biofuel,fraction,0.9999997394561243
247,biofuel_supply,biofuel,fraction,0.999999695726986
248,biofuel_supply,biofuel,fraction,0.9999997268648533
249,biofuel_supply,biofuel,fraction,0.9999990610951256
250,biofuel_supply,biofuel,fraction,0.9999991817617063
251,biofuel_supply,biofuel,fraction,0.9999989613085541
252,biofuel_supply,biofuel,fraction,0.9999983978541299
253,biofuel_supply,biofuel,fraction,0.9999995182376386
254,biofuel_supply,biofuel,fraction,0.9999981090618533
255,biofuel_supply,biofuel,fraction,0.999999493791365
256,biofuel_supply,biofuel,fraction,0.9999996767863155
257,biofuel_supply,biofuel,fraction,0.9999998464235147
258,biofuel_supply,biofuel,fraction,0.9999953491741486
259,biofuel_supply,biofuel,fraction,0.999999932769352
260,biofuel_supply,biofuel,fraction,0.9999986285591915
